"File","Lines","Extension"
"kernel\arch\x86_64\framebuffer.c","622",".c"
"kernel\arch\x86_64\ftrace.c","343",".c"
"kernel\arch\x86_64\gdt.c","60",".c"
"kernel\arch\x86_64\hda.c","123",".c"
"kernel\arch\x86_64\hpet.c","65",".c"
"kernel\arch\x86_64\i2c.c","333",".c"
"kernel\arch\x86_64\idt.c","70",".c"
"kernel\arch\x86_64\include\arch\ac97.h","30",".h"
"kernel\arch\x86_64\include\arch\acpi.h","43",".h"
"kernel\arch\x86_64\include\arch\acpi_madt.h","87",".h"
"kernel\arch\x86_64\include\arch\acpi_pm.h","164",".h"
"kernel\arch\x86_64\include\arch\ahci.h","42",".h"
"kernel\arch\x86_64\include\arch\apic.h","70",".h"
"kernel\arch\x86_64\include\arch\boot.h","27",".h"
"kernel\arch\x86_64\include\arch\bpf.h","242",".h"
"kernel\arch\x86_64\include\arch\buddy.h","64",".h"
"kernel\arch\x86_64\include\arch\cfs.h","77",".h"
"kernel\arch\x86_64\include\arch\conntrack.h","84",".h"
"kernel\arch\x86_64\include\arch\cpufreq.h","87",".h"
"kernel\arch\x86_64\include\arch\cpuidle.h","71",".h"
"kernel\arch\x86_64\include\arch\dns.h","109",".h"
"kernel\arch\x86_64\include\arch\drivers.h","10",".h"
"kernel\arch\x86_64\include\arch\efi.h","365",".h"
"kernel\arch\x86_64\include\arch\efi_runtime.h","127",".h"
"kernel\arch\x86_64\include\arch\ehci.h","25",".h"
"kernel\arch\x86_64\include\arch\elf.h","106",".h"
"kernel\arch\x86_64\include\arch\ext2.h","116",".h"
"kernel\arch\x86_64\include\arch\ext4.h","351",".h"
"kernel\arch\x86_64\include\arch\framebuffer.h","99",".h"
"kernel\arch\x86_64\include\arch\fs.h","123",".h"
"kernel\arch\x86_64\include\arch\ftrace.h","100",".h"
"kernel\arch\x86_64\include\arch\gdt.h","29",".h"
"kernel\arch\x86_64\include\arch\hal.h","102",".h"
"kernel\arch\x86_64\include\arch\hda.h","29",".h"
"kernel\arch\x86_64\include\arch\hpet.h","12",".h"
"kernel\arch\x86_64\include\arch\i2c.h","107",".h"
"kernel\arch\x86_64\include\arch\idt.h","27",".h"
"kernel\arch\x86_64\include\arch\interrupt.h","14",".h"
"kernel\arch\x86_64\include\arch\io.h","42",".h"
"kernel\arch\x86_64\include\arch\ioapic.h","60",".h"
"kernel\arch\x86_64\include\arch\ipc.h","21",".h"
"kernel\arch\x86_64\include\arch\jbd2.h","140",".h"
"kernel\arch\x86_64\include\arch\kernel.h","6",".h"
"kernel\arch\x86_64\include\arch\keyboard.h","131",".h"
"kernel\arch\x86_64\include\arch\kvm.h","182",".h"
"kernel\arch\x86_64\include\arch\kvm_vmx.h","366",".h"
"kernel\arch\x86_64\include\arch\ldso.h","159",".h"
"kernel\arch\x86_64\include\arch\lsm.h","254",".h"
"kernel\arch\x86_64\include\arch\memory.h","88",".h"
"kernel\arch\x86_64\include\arch\mmap.h","73",".h"
"kernel\arch\x86_64\include\arch\mouse.h","69",".h"
"kernel\arch\x86_64\include\arch\net.h","234",".h"
"kernel\arch\x86_64\include\arch\netfilter.h","67",".h"
"kernel\arch\x86_64\include\arch\nvme.h","489",".h"
"kernel\arch\x86_64\include\arch\pagecache.h","49",".h"
"kernel\arch\x86_64\include\arch\pagefault.h","60",".h"
"kernel\arch\x86_64\include\arch\pci.h","211",".h"
"kernel\arch\x86_64\include\arch\pcspk.h","11",".h"
"kernel\arch\x86_64\include\arch\pe.h","387",".h"
"kernel\arch\x86_64\include\arch\pic.h","13",".h"
"kernel\arch\x86_64\include\arch\pit.h","11",".h"
"kernel\arch\x86_64\include\arch\process.h","125",".h"
"kernel\arch\x86_64\include\arch\registry.h","244",".h"
"kernel\arch\x86_64\include\arch\route.h","89",".h"
"kernel\arch\x86_64\include\arch\rtc.h","22",".h"
"kernel\arch\x86_64\include\arch\sata.h","20",".h"
"kernel\arch\x86_64\include\arch\selinux.h","226",".h"
"kernel\arch\x86_64\include\arch\shell.h","26",".h"
"kernel\arch\x86_64\include\arch\slab.h","61",".h"
"kernel\arch\x86_64\include\arch\smbios.h","56",".h"
"kernel\arch\x86_64\include\arch\smp.h","159",".h"
"kernel\arch\x86_64\include\arch\sound.h","29",".h"
"kernel\arch\x86_64\include\arch\spi.h","102",".h"
"kernel\arch\x86_64\include\arch\spinlock.h","196",".h"
"kernel\arch\x86_64\include\arch\swap.h","83",".h"
"kernel\arch\x86_64\include\arch\syscall.h","31",".h"
"kernel\arch\x86_64\include\arch\system_sounds.h","9",".h"
"kernel\arch\x86_64\include\arch\tcp_cong.h","53",".h"
"kernel\arch\x86_64\include\arch\thermal.h","129",".h"
"kernel\arch\x86_64\include\arch\types.h","49",".h"
"kernel\arch\x86_64\include\arch\uart.h","147",".h"
"kernel\arch\x86_64\include\arch\usb_hid.h","145",".h"
"kernel\arch\x86_64\include\arch\usermode.h","54",".h"
"kernel\arch\x86_64\include\arch\vga.h","22",".h"
"kernel\arch\x86_64\include\arch\virtio.h","181",".h"
"kernel\arch\x86_64\include\arch\vlan.h","90",".h"
"kernel\arch\x86_64\include\arch\watchdog.h","70",".h"
"kernel\arch\x86_64\include\arch\win32.h","1877",".h"
"kernel\arch\x86_64\include\arch\win32_process.h","215",".h"
"kernel\arch\x86_64\include\arch\xhci.h","25",".h"
"kernel\arch\x86_64\ioapic.c","141",".c"
"kernel\arch\x86_64\jbd2.c","924",".c"
"kernel\arch\x86_64\keyboard.c","316",".c"
"kernel\arch\x86_64\kvm.c","682",".c"
"kernel\arch\x86_64\ldso.c","806",".c"
"kernel\arch\x86_64\lsm.c","764",".c"
"kernel\arch\x86_64\memory.c","353",".c"
"kernel\arch\x86_64\mmap.c","814",".c"
"kernel\arch\x86_64\mouse.c","355",".c"
"kernel\arch\x86_64\multiboot.h","14",".h"
"kernel\arch\x86_64\net.c","1101",".c"
"kernel\arch\x86_64\netfilter.c","108",".c"
"kernel\arch\x86_64\ntfs.c","1065",".c"
"kernel\arch\x86_64\nvme.c","832",".c"
"kernel\arch\x86_64\pagecache.c","221",".c"
"kernel\arch\x86_64\pagefault.c","281",".c"
"kernel\arch\x86_64\pci.c","369",".c"
"kernel\arch\x86_64\pcspk.c","55",".c"
"kernel\arch\x86_64\pe.c","199",".c"
"kernel\arch\x86_64\pic.c","78",".c"
"kernel\arch\x86_64\pit.c","51",".c"
"kernel\arch\x86_64\pnp.c","920",".c"
"kernel\arch\x86_64\procfs.c","304",".c"
"kernel\arch\x86_64\registry.c","910",".c"
"kernel\arch\x86_64\route.c","233",".c"
"kernel\arch\x86_64\rtc.c","102",".c"
"kernel\arch\x86_64\sata.c","58",".c"
"kernel\arch\x86_64\scm.c","698",".c"
"kernel\arch\x86_64\security.c","261",".c"
"kernel\arch\x86_64\selinux.c","496",".c"
"kernel\arch\x86_64\slab.c","352",".c"
"kernel\arch\x86_64\smbios.c","40",".c"
"kernel\arch\x86_64\smp.c","283",".c"
"kernel\arch\x86_64\sound.c","122",".c"
